MUNIC_RES,ANO,POPULACAO
2604908,1992,17894
2605004,1992,22134
2605103,1992,28970
2605152,1992,13325
2605202,1992,56044
2605301,1992,31834
2605400,1992,18842
2605459,1992,1712
2605509,1992,10955
2605608,1992,21751
2605707,1992,21176
2605806,1992,14136
2605905,1992,19804
2606002,1992,104445
2606101,1992,26716
2606200,1992,64543
2606309,1992,5989
2606408,1992,62575
2606507,1992,18589
2606606,1992,28511
2606705,1992,7497
2606804,1992,81114
2606903,1992,11152
2607000,1992,23497
2607109,1992,4405
2607208,1992,45735
2607307,1992,21384
2607406,1992,3219
2607505,1992,27066
2607604,1992,11779
2607653,1992,34866
2607703,1992,15560
2607752,1992,16647
2607802,1992,14256
2607901,1992,497122
2608008,1992,14496
2608107,1992,27644
2608206,1992,15635
2608255,1992,8138
2608305,1992,11884
2608404,1992,12686
2608453,1992,11155
2608503,1992,16750
2608602,1992,11313
2608701,1992,16664
2608800,1992,29940
2608909,1992,54704
2609006,1992,20980
2609105,1992,9052
2609204,1992,21475
2609303,1992,12954
2609402,1992,39345
2609501,1992,26603
2609600,1992,344954
2609709,1992,20893
2609808,1992,10933
2609907,1992,63607
2610004,1992,57208
2610103,1992,8263
2610202,1992,27359
2610301,1992,11349
2610400,1992,19032
2610509,1992,29329
2610608,1992,39842
2610707,1992,217131
2610806,1992,19463
2610905,1992,57891
2611002,1992,33513
2611101,1992,166893
2611200,1992,9610
2611309,1992,21302
2611408,1992,11012
2611507,1992,21183
2611531,1992,7473
2611606,1992,1303389
2611705,1992,17998
2611804,1992,41237
2611903,1992,34232
2612000,1992,11057
2612109,1992,5943
2612208,1992,47560
2612307,1992,14747
2612406,1992,15066
2612455,1992,10462
2612471,1992,12099
2612505,1992,38976
2612604,1992,42766
2612703,1992,11509
2612802,1992,9783
2612901,1992,9827
2613008,1992,42553
2613107,1992,30010
2613206,1992,18964
2613305,1992,17198
2613404,1992,11674
2613503,1992,31096
2613602,1992,28916
2613701,1992,87399
2613800,1992,14270
2613909,1992,72559
2614006,1992,19051
2614105,1992,31408
2614204,1992,33446
2614303,1992,11824
2614402,1992,5745
2614501,1992,59495
2614600,1992,22892
2614709,1992,11852
2614808,1992,17617
2615003,1992,17183
2615102,1992,6748
2615201,1992,6773
2615300,1992,57469
2615409,1992,15117
2615508,1992,11964
2615607,1992,19098
2615706,1992,15627
2615805,1992,19236
2615904,1992,7219
2616001,1992,12242
2616100,1992,8161
2616183,1992,8645
2616209,1992,14103
2616308,1992,28053
2616407,1992,107552
2616506,1992,10654
2700102,1992,18249
2700201,1992,16426
2700300,1992,168086
2700409,1992,38431
2700508,1992,7595
2700607,1992,5064
2700706,1992,13186
2700805,1992,5866
2700904,1992,7159
2701001,1992,22441
2701100,1992,8229
2701209,1992,11662
2701308,1992,18971
2701407,1992,37590
2701506,1992,10095
2701605,1992,18563
2701704,1992,18811
2701803,1992,5719
2701902,1992,8129
2702009,1992,9853
2702108,1992,16806
